device_name,ip_address,button_index
A10 KOKO 1st Flr,10.8.3.239,1
A10 KOKO Gfloor sw1,10.8.3.237,2
A1-DTMI,10.8.3.6,3
A1-DTMI-1stFloor,10.8.3.15,4
A2-HIM & Perundangan,10.8.3.5,5
A4 1st Floor,10.8.3.7,6
A4-2ndFloor-Meeeting Executive,10.8.3.13,7
A5 PTM,10.8.3.14,8
A6 Pengawal Keselamatan,10.8.3.8,9
A6 Pos Kawalan,10.8.3.167,10
A8-Stadium,10.8.3.67,11
ATM & Bust Stop Switch,10.10.10.17,12
B1-Bilik Seminar Dpn MKPTM2,10.8.2.55,13
B1-MKPTM1,10.8.3.19,14
B1-MKPTM2,10.8.3.28,15
B1-MKPTM3,10.8.3.31,16
B1-MKPTM4,10.8.3.32,17
B2 1st Floor Makmal Bahasa Ping: 10.8...,10.8.3.44,18
B2 Pej. Antarabangsa,10.8.3.57,19
B3-PPB-Gfloor1stsw-48x2,10.8.3.81,20
B5-Bendahari-1stFlr,10.8.3.78,22
B5-Bendahari-Gfloor,10.8.3.79,23
B6 Bilik Seminar Kuliah,10.8.3.9,24
C11,10.8.3.39,26
C12-Makmal Fizik Kimia - 48x2 - 10.8....,10.8.3.10,27
C14a-Teater,10.8.3.24,29
C14b-Pentas Koko,10.8.3.23,30
C15-Gfloor,10.8.3.171,32
C16-Gfloor,10.8.3.170,34
C17-Gfloor,10.8.3.153,36
C1-FIB,10.8.2.20,37
C2 - Inkubator,10.8.3.178,38
C2-Server Room,10.8.3.27,42
C2-Server Room,10.8.3.35,43
C3 Stor PKSK  Avaya,10.8.3.12,44
C3 Unit Kebudayaan,10.8.3.11,45
C6 -,10.8.3.33,46
Disti B3.E6,10.8.3.250,50
Disti C15.C16,10.8.3.248,51
Kolam Renang,10.8.2.56,52
D10 Unit Awam Lama,10.8.3.64,53
D11 Kabin Pemandu,10.60.35.208,54
D13-001 Pej Lestari,10.8.3.73,55
D1-3rdFloor Bilik Pensyarah Ping: 10....,10.8.3.92,56
D14-Unit Percetakan,10.8.3.74,57
D15-Pejabat Alumni & PKU,10.8.3.70,58
D16-PKU2,10.8.3.90,59
D1-Gfloor Bilik Pensyarah Ping: 10.8....,10.8.3.80,60
D2-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.2.129,61
D2-Pej TSN D02-007-02 G-Floor Ping: 1...,10.8.3.76,62
D3-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.2.130,63
D4-Asrama TSN 1stFloor POE Ping: 10.8...,10.8.3.17,64
D6-004a-Felo-KKTSN-POE,10.8.3.169,65
D7 2ndFloor,10.8.3.62,66
D7 Gfloor,10.8.3.61,67
D8-Pusat Sukan D08-002,10.8.3.75,68
D9-PPP Unit Kenderaan & Majlis Ping: ...,10.8.3.72,69
E1 Makmal AMMC,10.8.3.60,70
E10-002_Makmal_Aerodinamik Ping: 10.8...,10.8.3.123,71
E10-Makmal 1st Floor E10-103-03 Ping:...,10.8.3.52,72
E11-Bilik Pensyarah E11-004A Ping: 10...,10.8.3.51,73
E12-Bilik Pensyarah E12-004A Ping: 10...,10.8.3.49,74
E14-Bilik Kuliah E14-001,10.8.3.54,75
E15-Bilik Kuliah E15-001,10.8.3.53,76
E16 2nd Floor,10.8.3.118,77
E16 3rd Floor CCTV,10.8.3.220,78
E16 3rd Floor,10.8.3.119,79
E16 Gfloor 1stFloor Pendaftar Ping: 1...,10.8.3.117,80
E17-Makmal Bahan FKAAB,10.8.3.55,81
E2,10.8.3.34,82
E3-Bilik Pensyarah E03-002 Ping: 10.8...,10.8.3.47,83
E5-Bilik Pensyarah E05-002 Ping: 10.8...,10.8.3.46,84
E6-Bilik ICT E6-002B-0,10.8.3.56,85
E7-Kanzu E7-002-01,10.8.3.48,86
E7-Pejabat Penerbit E7-002-01 Ping: 1...,10.8.3.77,87
E9-Makmal RECESS E9-102-01 Ping: 10.8...,10.8.3.50,88
F1-Makmal Kuasa F1-001-07 Ping: 10.8....,10.8.3.68,89
F2-Pejabat PPA,10.8.3.71,90
F3 P.Khidmat Pelajar,10.8.3.97,91
F4 Chamber Lab FKEE,10.8.3.42,92
F5 MINT SRC,10.8.3.243,93
G1 Disti Wing B,10.8.3.173,94
G1-A,10.8.3.162,95
G1-A-1st Floor Mkml Senibina Kompu...155,10.8.3.155,96
G1-B,10.8.3.164,98
G1-C,10.8.3.166,99
G1-D,10.8.3.168,100
G2 Disti FKMP Wing F,10.8.3.172,101
G2-E,10.8.3.154,102
G2-F,10.8.3.156,103
G2-G,10.8.3.157,104
G2-H,10.8.3.158,106
G3 Disti A-Gfloor,10.8.3.180,107
G3-A Wing Gfloor,10.8.3.181,108
G3-B Wing 1st,10.8.3.184,109
G3-B Wing 2nd,10.8.3.185,110
G3-B Wing Gfloor,10.8.3.183,111
G3-E Wing 1st,10.8.3.187,112
G3-E Wing 2nd,10.8.3.188,113
G3-E Wing GFloor,10.8.3.186,114
G7-Oricc,10.8.3.176,115
PKU PC Calling E-Klinik Ping: 10.60.2...,10.60.27.174,116
PMU Pencawang Masuk Utama Blkg Evegre...,10.8.3.29,117
A 1stFlr FKAAS Block A (South East) 1...,10.8.3.45,118
A 2ndFlr FKAAS Block A (South East) 1...,10.8.3.69,119
A 3rdFlr FKAAS Block A (South East) 1...,10.8.3.88,120
A 4thFlr FKAAS Block A (South East) 1...,10.8.3.127,121
A 5thFlrFKAAS Block A (South East) 10...,10.8.3.128,122
A 6thFlr FKAAS Block A (South East) 1...,10.8.3.129,123
A 7thFlr FKAAS Block A (South East) 1...,10.8.3.139,124
A 8thFlr FKAAS Block A (South East) 1...,10.8.3.140,125
A GrndFlr FKAAS Block A (South East) ...,10.8.3.59,126
B 1stFlr FKAAS (Tengah),10.8.3.30,127
B Grnd Floor FKAAS (Tengah),10.8.3.4,128
C 1st Flr FKAAS (North East),10.8.3.231,129
C 2nd Flr FKAAS (North East),10.8.3.226,130
C 3rd Flr FKAAS (North East),10.8.3.227,131
C 4th Flr FKAAS (North East),10.8.3.228,132
C 5th Flr FKAAS (North East),10.8.3.229,133
C 6th Flr FKAAS (North East),10.8.3.230,134
C Grnd Flr FKAAS (North East),10.8.3.225,135
C Mezzanine Flr FKAAS C (North Eas...222,10.8.3.222,136
Disti FKAAB BlokA-Gfloor Ping: 10.8.2...,10.8.2.210,137
Disti FKAAB BlokA-Gfloor Ping: 10.8.2...,10.8.2.211,138
Disti FKAAB BlokA-Gfloor,10.8.3.3,139
G8 Envirolab,10.10.11.115,140
Mkml Komp3 - Blok C 1st Floor Ping: 1...,10.8.2.34,141
Disti FKEE QB,10.8.2.220,142
Disti QA-CCTV GFloor,10.8.3.124,143
Disti QA-GFloor,10.8.3.18,144
QA-1st Floor Sw,10.8.3.241,145
QA-1st Floor Sw,10.8.3.246,146
QA-2nd Floor Sw,10.8.3.63,147
QA-3rd Floor Sw,10.8.3.85,148
QA-4th Floor Sw,10.8.3.94,149
QA-5th Floor Sw,10.8.3.95,150
QA-6th Floor Sw,10.8.3.96,151
QA-7th Floor Sw,10.8.3.98,152
QA-CCTV 1st Floor sw,10.8.3.125,153
QA-CCTV 2nd Floor sw,10.8.3.126,154
QA-CCTV 3rd Floor sw,10.8.3.161,155
QA-CCTV 4th Floor sw,10.8.3.200,156
QA-CCTV 5th Floor sw,10.8.3.203,157
QA-CCTV 6th Floor sw,10.8.3.236,158
QA-CCTV 7th Floor sw,10.8.3.240,159
QA-CCTV GFloor sw,10.8.3.122,160
QA-GFloor Sw,10.8.3.121,161
QB-1st Floor,10.8.2.222,162
QB-2nd Floor,10.8.2.223,163
QB-Gfloor,10.8.2.221,164
1st Floor,10.8.3.143,165
1st Floor Server,10.8.3.144,166
2nd Floor Mkmal Komputer Siwazah P...146,10.8.3.146,167
2nd Floor,10.8.3.145,168
3rd Floor,10.8.3.147,169
4th Floor,10.8.3.148,170
5th Floor,10.8.3.216,171
6th Floor,10.8.3.217,172
7th Floor,10.8.3.218,173
8th Floor,10.8.3.219,174
Distribution Sw FPTP,10.8.3.20,175
Gfloor Disti Room,10.8.3.141,176
G-Floor Mkml Automasi J002-A Ping: 10...,10.8.3.99,177
Gfloor,10.8.3.142,178
A 1stFloor,10.8.3.190,179
A 2ndFloor,10.8.3.191,180
A 3rdFloor,10.8.3.192,181
A 4thdFloor,10.8.3.193,182
A 5thFloor,10.8.3.194,183
A Gfloor Floor,10.8.3.189,184
B 1stFloor,10.8.3.196,185
B GndFloor,10.8.3.195,186
C 1StFloor,10.8.3.198,187
C 2ndFloor,10.8.3.199,188
C GndFloor,10.8.3.197,189
Disti FPTV Blok A-Gfloor Ping: 10.8.3...,10.8.3.120,190
KC-FPTV-1stFloorPusat Sumber FPTV 10....,10.8.2.11,191
1stFloor FSKTM,10.8.3.132,192
2ndFloor FSKTM,10.8.3.133,193
3rdFloor FSKTM,10.8.3.134,194
4thtFloor FSKTM,10.8.3.135,195
5th Floor FSKTM,10.8.3.136,196
6th Floor FSKTM,10.8.3.137,197
7th tFloor FSKTM,10.8.3.138,198
Disti FSKTM GFloor,10.8.2.206,199
Disti FSKTM GFloor,10.8.2.207,200
Disti FSKTM GFloor,10.8.3.130,201
G9 Biodiesel,10.8.3.234,202
GFloor FSKTM,10.8.3.131,203
SW Server Room Gfoor in Disti Ping: 1...,10.10.11.23,204
Cafe Access Switch,10.8.2.30,205
Cafe Main Switch,10.8.2.29,206
F6 1stFloor Oricc,10.8.2.33,207
F6 2ndFloor Oricc,10.8.2.57,208
F6 3rdFloor Oricc,10.8.2.58,209
F6 4thFloor Oricc,10.8.2.59,210
F6 Disti Main Switch Oricc Ping: 10.8...,10.8.2.31,211
F6 Gfloor Oricc,10.8.2.32,212
HEPA Access Switch,10.8.2.27,213
HEPA Main Switch,10.8.2.19,214
Palapes Kabin,10.8.3.115,215
Palapes Pejabat,10.8.3.82,216
PPUK Kabin Depan Relasis,10.8.2.41,217
Reccess,10.8.3.87,218
Relasis Pejabat,10.8.2.21,219
Suksis Pejabat,10.8.3.116,220
A-001,10.9.4.30,221
A-004-A BK2,10.9.4.7,222
A-101-02 Studio Pemb. Video & Animasi...,10.9.4.4,223
A-102-02,10.9.4.16,224
A-109-02,10.9.4.18,225
A-203 Bilik Pensyarah 3,10.9.4.26,226
AP SW BCB 2nd Floor B-201-02 Ping: 10...,10.9.4.40,227
B-001-B Studio FKAAB GFloor (fpt lama...,10.9.4.2,228
B-003,10.9.4.6,229
B-014-A PTM Office Operasi (3812) Pin...,10.9.4.3,230
B-014-A PTM Office Operasi Access Swi...,10.9.4.8,231
B-103-01,10.9.4.11,232
B-104,10.9.4.12,233
B-105-01,10.9.4.13,234
B-106-02,10.9.4.14,235
Core SW BCB 2nd Floor B-201-02 Pin...252,10.9.4.252,236
MKPTM2,10.9.4.9,237
A LAN & POE,10.8.2.217,238
A POE L1 (room A2-05),10.8.2.46,239
B,10.8.3.86,240
B SW2,10.8.2.64,241
C,10.8.2.44,242
Cambium Master FKAAB(A) to KKP(H) ...169,10.8.2.169,243
Cambium Remote KKP(H) to FKAAB(A)P...170,10.8.2.170,244
D,10.8.2.45,245
E Disti Gfloor,10.8.3.93,246
E POE,10.8.2.40,247
F,10.8.3.91,248
G,10.8.3.113,249
H Disti,10.8.3.235,250
H Lab,10.8.3.89,251
H Lab POE for AP,10.64.3.5,252
J,10.8.3.109,253
K,10.8.3.110,254
L,10.8.3.114,255
M,10.8.3.111,256
N,10.8.3.112,257
UBNT Master FKAAB(A) to KKP(H) Pin...212,10.10.11.212,258
UBNT Master FKAAB(A) to KKP(H) Pin...213,10.10.11.213,259
UBNT Master FKAAB(C) to KKP(H)  Ping:...,10.8.2.49,260
UBNT Remote KKP(H) to FKAAB(A)Ping...210,10.10.11.210,261
UBNT Remote KKP(H) to FKAAB(A)Ping...211,10.10.11.211,262
UBNT Remote KKP(H) to FKAAB(C)Ping: 1...,10.8.2.50,263
Disti G4 Cafe Gfloor,10.8.3.100,264
G4-1stFlr-Office,10.8.3.102,265
G4A POE KKTDI Switch 1st Floor Ping: ...,10.10.11.19,266
G4-AB Blok Soikongan,10.8.3.103,267
G4-AB-Switch PoE,10.8.3.38,268
G4B POE KKTDI Switch 1st Floor Ping: ...,10.10.11.18,269
G4C POE KKTDI Switch 1st Floor Ping: ...,10.10.11.17,270
G4-CD Blok Sokongan,10.8.3.104,271
G4D POE KKTDI Switch 1st Floor Ping: ...,10.10.11.16,272
G4-Gnd Cafe,10.8.3.101,273
G5-1stFlr Office,10.8.3.106,274
G5A POE KKTF Switch 1st Floor Ping: 1...,10.8.2.86,275
G5-AB Blok Sokongan,10.8.3.107,276
G5B POE KKTF Switch 1st Floor Ping: 1...,10.8.2.87,277
G5C POE KKTF Switch 1st Floor Ping: 1...,10.8.2.88,278
G5-CD Sokongan,10.8.3.108,279
G5D POE KKTF Switch 1st Floor Ping: 1...,10.8.2.89,280
G5-Gnd Cafe,10.8.3.105,281
1st Floor WC03 Blkg Lif,10.8.3.206,282
1st Floor WC04,10.8.3.207,283
2nd Floor WC05 Blkg Lif,10.8.3.208,284
2nd Floor WC06,10.8.3.209,285
3rd Floor WC07 Blkg Lif,10.8.3.210,286
3rd Floor WC08,10.8.3.211,287
4th Floor WC09 Blkg Lif,10.8.3.212,288
4th Floor WC10,10.8.3.213,289
5th Floor WC11 Blkg Lif,10.8.3.214,290
5th Floor WC12 Blkg Pej PNC Ping: 10....,10.8.3.215,291
Billing Telefon Server Library Pin...207,10.63.55.207,292
CCTV Switch For Server Bilik Server A...,10.8.3.65,293
CCTV Switch For Server Gfloor Bilik K...,10.8.3.66,294
Disti Perpustakaan 2nd Floor BigSt...212,10.8.2.212,295
Disti Perpustakaan 2nd Floor Blkg ...213,10.8.2.213,296
Disti Perpustakaan 2nd Floor Ping: 10...,10.8.3.202,297
DSI Belakang,10.8.2.231,298
DSI UCiTV,10.8.2.230,299
Gfloor WC01 Blkg Lif,10.8.3.204,300
Gfloor WC02,10.8.3.205,301
Masjid,10.8.3.232,302
PABX Telefon Server Library Ping: 10....,10.63.55.206,303
Pos Kawalan 4 Depan Masjid Ping: 10.8...,10.8.2.63,304
PPP Pembangunan,10.8.2.110,305
PPP Penyelengaraan,10.8.2.158,306
printer fujixerox IO,10.63.24.225,307
Server Farm Library Rack Switch Ping:...,10.8.3.2,308
Stor Kimia,10.8.2.67,309
Taska,10.8.3.233,310
Yayasan UTHM Library Gfloor (bilik ka...,10.8.2.39,311
R1 A5,10.8.2.233,312
R1 A5,10.8.2.251,313
R2 A5,10.8.2.252,314
R3 A5,10.8.2.204,315
R4 A5,10.8.2.240,316
R4 A5,10.8.2.249,317
R5 A5,10.8.2.224,318
R5 A5,10.8.2.239,319
R7 A5,10.8.2.235,320
R7 A5,10.8.3.159,321
R8 A5,10.8.2.234,322
R8 A5,10.8.2.253,323
R14-1 C2,10.8.2.227,324
R14-2 C2,10.8.2.248,325
R2 C2,10.8.2.226,326
R3 C2,10.8.2.225,327
R3 C2,10.8.2.238,328
R6 C2,10.8.2.245,329
R9 C2,10.8.3.16,330
A10 to A20 Master UBNT Ping: 10.60.35...,10.60.35.247,331
A20 to A10 Remote UBNT,10.60.35.248,332
A6 Pos Pengawal Master UBNT -,10.8.2.174,333
A6 Pos Pengawal Remote UBNT -,10.8.2.173,334
ATM Master UBNT (B3 blkg ict room to ...,10.10.11.24,335
ATM Remote UBNT (ATM to B23)Ping: 10....,10.10.11.25,336
FSKTM to New DC Master UBNT Ping: 10....,10.10.11.31,337
New DC - FSKTM Remote UBNTPing: 10.10...,10.10.11.32,338
Nursery Master UBNT (mounting at G...207,10.8.207.207,339
Nursery Remote UBNT,10.8.207.208,340
Pos 6 Pengawal Master UBNTBalkoni ...207,10.63.43.207,341
Pos 6 Pengawal Remote UBNT Tmn U t...208,10.63.43.208,342
A Blok Pejabat,10.100.0.4,343
B Blok Asrama Perempuan,10.100.0.5,344
C Blok VIP Asrama,10.100.0.6,345
CORE PUMAS,10.100.0.3,346
D Blok Asrama Lelaki,10.100.0.7,347
E Blok Dewan Makan,10.100.0.8,348
PEPLINK PUMAS,10.100.2.1,349
Pumas Master UBNT Pos Kawalan Ping...205,10.100.10.205,350
Pumas Remote UBNT Pos Kawalan Ping...206,10.100.10.206,351
FSKTM Temp Sw to NDC,10.8.3.21,352
NDC Poe Switch Cold Isle Ping: 10.10....,10.10.11.27,353
